,emoji,count
1149,🇰🇵,710
653,🎖️,705
1035,🧦,705
1201,🕌,699
990,🇭🇰,698
575,📳,697
889,🤾,694
1062,♑,688
678,📐,686
838,🇦🇲,686
1255,🌬️,684
1170,🎌,678
412,♍,675
629,⛏️,673
1349,🤺,672
1070,🏓,671
1305,🏳️,671
1313,👨‍🎓,666
937,🤹,666
805,👩‍❤️‍💋‍👩,663
1215,🧕,661
801,🦗,658
950,☦️,657
973,🏧,656
1173,🧥,656
1187,🇧🇸,655
1274,🇱🇺,655
1320,🏖️,654
1334,👩‍👧,654
732,🚣,651
1160,🏊‍♀️,644
1211,🛎️,643
1252,🥙,642
881,🍠,640
1230,🗺️,640
1182,👨‍💻,634
969,🇨🇲,628
992,🇷🇴,624
830,🇿🇲,621
1114,🏋️,617
1219,🧙,616
379,🗞️,616
601,🧞‍♀️,609
1424,🔢,604
1064,📑,603
878,🧙‍♂️,600
727,💺,600
809,🕯️,598
922,💾,597
942,🇲🇻,597
535,🚭,592
855,🧙‍♀️,592
1346,🚏,589
1233,🛐,586
722,🇸🇻,584
1276,🕵️‍♀️,581
698,🥄,581
673,🧝,574
1118,👩‍⚕️,573
1256,☪️,573
1206,🇧🇧,572
1044,🇱🇻,571
1303,🛴,569
456,🇱🇨,560
1280,🏸,558
231,👩‍🎓,557
542,🕧,557
1296,🖊️,555
1140,🥨,550
861,🇱🇹,550
684,🧒,549
1162,👘,547
1132,🌩️,545
1117,👩‍💻,542
714,🔇,541
1099,✒️,532
1271,🚷,531
296,📵,530
1247,🚤,527
1060,🦓,527
1147,🇧🇬,526
1396,⏫,521
1188,🧚‍♂️,521
1028,🚶‍♀️,520
1157,👡,519
939,🔩,511
1085,🍶,509
1144,👨‍❤️‍👨,508
1013,🇷🇸,508
244,🇱🇧,497
1150,🇰🇼,496
1003,🇶🇦,495
1309,🚼,494
1081,🇨🇩,488
1461,🥟,488
1262,🤸‍♂️,485
1203,⛩️,482
1314,🀄,480
1293,🇬🇾,480
919,🏭,479
381,👱‍♀️,478
1257,🎑,476
1029,🚸,471
1126,🇹🇼,469
1055,🥢,467
867,🛋️,462
1277,📠,462
755,🇸🇮,460
966,🛍️,457
667,🛵,453
636,🆑,451
1306,👩‍👦,450
995,🇸🇱,445
1332,🚊,445
1384,🚵,444
1263,🕚,443
965,⚛️,439
1387,🤼‍♀️,433
1228,⛱️,433
1354,🥡,429
808,🚰,425
1398,🇪🇪,421
1116,🛶,421
751,🇪🇦,413
1333,🇱🇾,412
1224,🇴🇲,410
1372,🌁,409
1071,👩‍❤️‍👩,408
1105,👨‍❤️‍💋‍👨,407
1393,🇧🇼,406
1330,🎗️,406
1258,👨‍🚀,405
665,👨‍👦,399
1326,↖️,395
782,🇧🇦,394
1213,🇦🇱,391
1089,🚎,391
1022,🇮🇶,389
1229,👨‍⚕️,386
1443,🛷,386
1486,🇧🇻,384
1409,🗨️,383
1435,➗,382
1088,⚗️,382
1410,⛷️,381
537,🚯,381
1394,⚒️,380
1294,🔕,379
1078,🇪🇹,377
911,👩‍🎨,372
1172,👨‍✈️,371
1389,🇱🇰,370
1218,👩‍🏫,369
1340,💆‍♀️,369
1322,🚈,368
1020,🏔️,368
1253,🏙️,368
1452,🇬🇦,367
982,🖼️,364
997,🇸🇰,364
918,🛠️,363
1480,🇹🇴,362
1319,📟,362
1436,🇼🇸,360
1378,🇬🇩,358
935,🚉,358
1315,⛓️,357
1328,🇯🇴,357
1365,🇪🇷,356
1251,🧘‍♀️,355
1538,🇨🇨,354
1240,🇦🇬,352
842,🇰🇭,352
837,🇳🇵,349
1077,🇹🇳,345
1065,🤹‍♂️,345
1267,👩‍🚒,343
1082,🏝️,335
179,🏌️‍♀️,334
1156,🏯,330
840,🇷🇼,329
1197,🉐,327
700,👨‍🚒,326
1104,👲,320
1295,🕎,317
191,👨‍🏫,317
1505,🇦🇿,314
1012,🇸🇩,313
1363,🤽‍♀️,308
1220,🎽,306
1154,👩‍🎤,303
1374,🇬🇲,303
1364,⛑️,301
1259,👩‍🚀,300
1284,🚾,299
1419,🇻🇮,299
